States,Year,value
RN,2036/37,253.90662160997965
CE,2036/37,1734.7742203980988
PI,2036/37,686.3724675093265
PI_Sul,2036/37,377.50485713012955
PI_Outros,2036/37,308.86761037919695
MA,2036/37,854.0111744244161
MA_Sul,2036/37,298.90391104854564
MA_Outros,2036/37,555.1072633758705
TO,2036/37,820.7525978234488
TO_Centro,2036/37,284.8534388896658
TO_Leste,2036/37,30.016753937227982
TO_Norte,2036/37,387.3625055592671
TO_Sul,2036/37,118.51989943728786
PA,2036/37,984.2044129850599
PA_Nordeste,2036/37,19.684088259701184
PA_Noroeste,2036/37,127.9465736880578
PA_Sudeste,2036/37,157.4727060776096
PA_Outros,2036/37,679.1010449596913
AP,2036/37,98.04597792394517
RO,2036/37,830.6224879525427
AC,2036/37,121.30609669606228
AM,2036/37,227.14351049025865
RR,2036/37,144.83366046644744
