States,Year,value
PI_Sul,2036/37,838.9880845117203
PI_Outros,2036/37,0.0
MA,2036/37,490.8221825008503
MA_Sul,2036/37,502.97762144714767
MA_Outros,2036/37,0.0
TO,2036/37,802.48383372495
TO_Centro,2036/37,853.5556384662921
TO_Leste,2036/37,0.0
TO_Norte,2036/37,0.0
TO_Sul,2036/37,0.0
PA,2036/37,0.0
PA_Nordeste,2036/37,0.0
PA_Noroeste,2036/37,4.164525670968178
PA_Sudeste,2036/37,0.0
PA_Outros,2036/37,36.94369246511418
AP,2036/37,0.679123638915465
RO,2036/37,80.41328334531175
AC,2036/37,0.030183272840687333
AM,2036/37,652.7128213403407
RR,2036/37,2.2511690993679303
