Year,Month,Estado,UF,Tonnes
2013,5,PARANÁ,PR,376861.15099999995
2013,5,RIO GRANDE DO SUL,RS,225836.365
2013,5,SANTA CATARINA,SC,3501.459
2013,5,SÃO PAULO,SP,91961.927
2013,6,BAHIA,BA,58354.117
2013,6,GOIÁS,GO,98649.744
2013,6,MATO GROSSO,MT,442954.20300000004
2013,6,MATO GROSSO DO SUL,MS,23095.903
2013,6,MERCADORIA NACIONALIZADA,ND,1.0
2013,6,MINAS GERAIS,MG,23718.32
2013,6,PARANÁ,PR,316600.284
2013,6,RIO GRANDE DO SUL,RS,244458.927
2013,6,SANTA CATARINA,SC,3989.1
2013,6,SÃO PAULO,SP,54626.710999999996
2013,7,BAHIA,BA,177013.401
2013,7,GOIÁS,GO,157761.983
2013,7,MATO GROSSO,MT,387159.709
2013,7,MATO GROSSO DO SUL,MS,63130.992
2013,7,MINAS GERAIS,MG,5225.5
2013,7,PARANÁ,PR,360602.943
2013,7,RIO GRANDE DO SUL,RS,416011.388
2013,7,SÃO PAULO,SP,34561.958
2013,8,BAHIA,BA,48308.246
2013,8,GOIÁS,GO,143970.23200000002
2013,8,MATO GROSSO,MT,390252.434
2013,8,MATO GROSSO DO SUL,MS,29016.029999999995
2013,8,MINAS GERAIS,MG,21686.823999999997
2013,8,PARANÁ,PR,286795.037
2013,8,RIO GRANDE DO SUL,RS,279577.1
2013,8,SANTA CATARINA,SC,400.0
2013,8,SÃO PAULO,SP,53303.796
2013,9,BAHIA,BA,118168.674
2013,9,GOIÁS,GO,102195.25
2013,9,MATO GROSSO,MT,421211.51700000005
2013,9,MATO GROSSO DO SUL,MS,18754.25
2013,9,MINAS GERAIS,MG,37211.44
2013,9,PARANÁ,PR,282050.046
2013,9,RIO GRANDE DO SUL,RS,377822.672
2013,9,SANTA CATARINA,SC,2548.48
2013,9,SÃO PAULO,SP,48758.561
2013,10,ALAGOAS,AL,6393.338
2013,10,BAHIA,BA,57025.026
2013,10,GOIÁS,GO,104589.53099999999
2013,10,MATO GROSSO,MT,255768.208
2013,10,MATO GROSSO DO SUL,MS,25395.984
2013,10,MINAS GERAIS,MG,13666.5
2013,10,PARANÁ,PR,339183.32
2013,10,RIO GRANDE DO SUL,RS,254723.502
2013,10,RONDÔNIA,RO,45.4
2013,10,SANTA CATARINA,SC,623.97
2013,10,SÃO PAULO,SP,28633.662
2013,11,BAHIA,BA,57911.152
2013,11,GOIÁS,GO,137769.44199999998
2013,11,MATO GROSSO,MT,382515.154
2013,11,MATO GROSSO DO SUL,MS,52696.395
2013,11,MINAS GERAIS,MG,6954.699999999999
2013,11,PARANÁ,PR,310859.424
2013,11,RIO GRANDE DO SUL,RS,287240.549
2013,11,SANTA CATARINA,SC,403.01
2013,11,SÃO PAULO,SP,28687.35
2013,12,GOIÁS,GO,73616.898
2013,12,MATO GROSSO,MT,374418.63
2013,12,MATO GROSSO DO SUL,MS,32192.194000000003
2013,12,MINAS GERAIS,MG,8111.566999999999
2013,12,PARANÁ,PR,254909.506
2013,12,RIO GRANDE DO SUL,RS,121972.66900000001
2013,12,RIO DE JANEIRO,RJ,3512.526
2013,12,SANTA CATARINA,SC,504.48
2013,12,SÃO PAULO,SP,42773.93
2014,1,BAHIA,BA,28994.652
2014,1,GOIÁS,GO,72230.09
2014,1,MATO GROSSO,MT,270784.106
2014,1,MATO GROSSO DO SUL,MS,23376.664
2014,1,MINAS GERAIS,MG,192.71
2014,1,PARANÁ,PR,194520.633
2014,1,RIO GRANDE DO SUL,RS,269451.473
2014,1,SANTA CATARINA,SC,1777.251
2014,1,SÃO PAULO,SP,40340.0
2014,2,GOIÁS,GO,47985.882
2014,2,MATO GROSSO,MT,136600.06100000002
2014,2,MATO GROSSO DO SUL,MS,39887.48499999999
2014,2,MINAS GERAIS,MG,5567.82
2014,2,PARANÁ,PR,182016.517
2014,2,RIO GRANDE DO SUL,RS,54390.563
2014,2,SANTA CATARINA,SC,16224.262
2014,2,SÃO PAULO,SP,23937.0
2014,3,BAHIA,BA,45947.388
2014,3,GOIÁS,GO,81650.144
2014,3,MATO GROSSO,MT,269163.312
2014,3,MATO GROSSO DO SUL,MS,30320.319000000003
2014,3,MINAS GERAIS,MG,1904.24
2014,3,PARANÁ,PR,195818.923
2014,3,RIO GRANDE DO SUL,RS,80375.66600000001
2014,3,SANTA CATARINA,SC,808.11
2014,3,SÃO PAULO,SP,21053.248
2014,4,BAHIA,BA,74777.02
2014,4,GOIÁS,GO,108596.67800000001
2014,4,MATO GROSSO,MT,490312.1
2014,4,MATO GROSSO DO SUL,MS,66733.424
2014,4,MINAS GERAIS,MG,14785.137999999999
2014,4,PARANÁ,PR,290566.379
2014,4,RIO GRANDE DO SUL,RS,185992.293
2014,4,SANTA CATARINA,SC,25223.047
2014,4,SÃO PAULO,SP,73414.269
2014,5,BAHIA,BA,88624.48
2014,5,GOIÁS,GO,179535.81
2014,5,MATO GROSSO,MT,448223.131
2014,5,MATO GROSSO DO SUL,MS,60328.422
2014,5,MINAS GERAIS,MG,26217.242
2014,5,PARANÁ,PR,311352.364
2014,5,RIO GRANDE DO SUL,RS,165958.783
2014,5,SANTA CATARINA,SC,13447.619
2014,5,SÃO PAULO,SP,126473.587
2014,6,BAHIA,BA,116294.759
2014,6,GOIÁS,GO,145985.71300000002
2014,6,MATO GROSSO,MT,492645.224
2014,6,MATO GROSSO DO SUL,MS,49679.572
2014,6,MINAS GERAIS,MG,19873.758
2014,6,PARANÁ,PR,412721.488
2014,6,RIO GRANDE DO SUL,RS,315933.20200000005
2014,6,SANTA CATARINA,SC,9361.209
2014,6,SÃO PAULO,SP,118860.55299999999
2014,7,BAHIA,BA,93351.2
2014,7,GOIÁS,GO,146262.21099999998
2014,7,MATO GROSSO,MT,317261.068
2014,7,MATO GROSSO DO SUL,MS,24689.771
2014,7,MINAS GERAIS,MG,10752.278999999999
2014,7,PARANÁ,PR,326067.761
2014,7,RIO GRANDE DO SUL,RS,241947.801
2014,7,SANTA CATARINA,SC,4773.083
2014,7,SÃO PAULO,SP,87933.616
2014,8,BAHIA,BA,10000.0
2014,8,GOIÁS,GO,127501.019
2014,8,MATO GROSSO,MT,730270.291
2014,8,MATO GROSSO DO SUL,MS,23284.917
2014,8,MINAS GERAIS,MG,14547.433
2014,8,PARANÁ,PR,396841.65300000005
2014,8,RIO GRANDE DO SUL,RS,180718.22999999998
2014,8,SÃO PAULO,SP,153115.636
2014,9,BAHIA,BA,201853.11
2014,9,GOIÁS,GO,8096.531
2014,9,MATO GROSSO,MT,246873.309
2014,9,MATO GROSSO DO SUL,MS,4645.15
2014,9,MINAS GERAIS,MG,7159.54
2014,9,PARANÁ,PR,313809.066
2014,9,RIO GRANDE DO SUL,RS,337523.68799999997
2014,9,SÃO PAULO,SP,108481.67
2014,10,BAHIA,BA,63076.614
2014,10,GOIÁS,GO,168402.022
2014,10,MATO GROSSO,MT,324573.283
2014,10,MATO GROSSO DO SUL,MS,46118.183
2014,10,MERCADORIA NACIONALIZADA,ND,1.0
2014,10,MINAS GERAIS,MG,5830.6
2014,10,PARANÁ,PR,249588.56
2014,10,RIO GRANDE DO SUL,RS,237745.205
2014,10,SANTA CATARINA,SC,1212.462
2014,10,SÃO PAULO,SP,84347.156
2014,11,BAHIA,BA,114957.324
2014,11,GOIÁS,GO,45657.465
2014,11,MARANHÃO,MA,36250.0
2014,11,MATO GROSSO,MT,372956.58999999997
2014,11,MATO GROSSO DO SUL,MS,47935.221
2014,11,MINAS GERAIS,MG,10989.112
2014,11,PARANÁ,PR,217596.05
2014,11,RIO GRANDE DO SUL,RS,100864.083
2014,11,SÃO PAULO,SP,34163.912
2014,12,BAHIA,BA,97683.828
2014,12,GOIÁS,GO,59595.716
2014,12,MATO GROSSO,MT,193525.892
2014,12,MATO GROSSO DO SUL,MS,37423.21
2014,12,MINAS GERAIS,MG,15555.395
2014,12,PARANÁ,PR,186035.96600000001
2014,12,RIO GRANDE DO SUL,RS,272905.94
2014,12,RONDÔNIA,RO,85.42
2014,12,SÃO PAULO,SP,6251.585
2015,1,BAHIA,BA,59890.526
2015,1,GOIÁS,GO,64944.105
2015,1,MATO GROSSO,MT,297911.21499999997
2015,1,MATO GROSSO DO SUL,MS,23699.058
2015,1,MINAS GERAIS,MG,930.3
2015,1,PARANÁ,PR,109500.42199999999
