%Confiança,Ano,Estado,Microrregião,Mês,Produto,Produção,Produção Max,Produção Mín,Tipo,Tipo Ajustado,UF
85,2019,minas gerais,MG_Outros,4,Milho_1,365.20050069142485,4594.453119783198,28.919557238860445,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,5,Milho_1,91.90955950025518,1157.3971363541227,7.189350079813456,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,6,Milho_1,0.02576804289483124,1.8164433674628824,0.0,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,7,Milho_1,0.008787308903563938,1.6028843921330809,0.0,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,8,Milho_1,0.012149550138767591,1.6451697723393182,0.0,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,9,Milho_1,0.014293588070796247,1.6721343631554642,0.0,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,10,Milho_1,0.012714121232347506,1.6522701264410835,0.0,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,11,Milho_1,0.010005052946154126,1.618199405611488,0.0,Prevista,Prevista,MG
85,2019,minas gerais,MG_Outros,12,Milho_1,0.009312871986372664,1.6094941602086916,0.0,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,2,Milho_1,2.99584186080167,56.262004096362105,0.04423685513643864,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,3,Milho_1,200.73110701947238,3624.6929741676618,11.001219185829664,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,4,Milho_1,365.20050069142485,6592.791140859858,20.11486029055289,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,5,Milho_1,91.90955950025518,1660.8440872882559,4.971157869200268,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,6,Milho_1,0.02576804289483124,2.6625442998911364,0.0,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,7,Milho_1,0.008787308903563938,2.35610135446934,0.0,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,8,Milho_1,0.012149550138767591,2.416778066551652,0.0,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,9,Milho_1,0.014293588070796247,2.455470463436542,0.0,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,10,Milho_1,0.012714121232347506,2.4269666030958033,0.0,Prevista,Prevista,MG
90,2019,minas gerais,MG_Outros,11,Milho_1,0.010005052946154126,2.3780773816171186,0.0,Prevista,Prevista,MG
